Category,Fi,De,Hu,Tr,En
101,low,low,low,mid,low
102,low,low,none,low,low
103,low,low,mid,low,low
104,high,mid,mid,mid,high
105,low,mid,low,low,mid
106,low,mid,low,mid,mid
107,high,high,mid,high,high
108,mid,high,mid,mid,high
109,mid,low,low,low,low
110,mid,low,low,low,mid
201,mid,high,high,high,high
202,high,high,high,high,high
203,low,low,low,low,low
204,low,low,mid,mid,low
301,mid,mid,mid,mid,high
302,low,low,low,low,low
303,high,high,high,high,mid
304,low,low,high,mid,low
305,mid,high,mid,mid,mid
401,low,mid,mid,mid,mid
402,high,mid,high,high,high
403,high,high,high,mid,high
404,mid,low,mid,high,mid
405,low,mid,low,low,low
406,mid,low,mid,low,low
407,low,low,low,mid,mid
408,mid,high,mid,mid,mid
409,mid,low,low,low,low
410,mid,mid,high,high,mid
411,high,high,high,high,high
412,low,mid,low,mid,mid
413,low,low,low,low,mid
414,high,mid,mid,high,mid
415,none,low,low,low,none
416,mid,high,mid,mid,high
501,high,high,high,high,high
502,mid,high,high,high,mid
503,high,high,high,high,high
504,high,high,high,high,high
505,mid,mid,mid,low,low
506,high,high,high,high,high
507,low,low,low,none,none
601,high,mid,high,high,high
602,mid,low,low,low,mid
603,high,mid,mid,mid,low
604,low,mid,mid,low,low
605,high,high,high,high,high
606,high,high,high,mid,mid
607,mid,mid,mid,mid,mid
608,mid,low,low,low,low
701,high,high,high,high,high
702,low,low,low,none,low
703,high,mid,high,high,high
704,low,low,mid,low,low
705,low,mid,low,low,low
706,mid,mid,low,mid,mid